tipo_de_api,tip_execucao,qtd_itens,tamanho_query,tempo_de_resposta,tamanho_body_resposta
graphql,paralelo,40,238,0.595381,32
graphql,paralelo,60,238,0.621382,32
graphql,paralelo,80,238,0.557971,32
graphql,paralelo,100,239,1.067108,32
rest,sequencial,20,24,1.052602,103493
rest,sequencial,40,24,1.445728,207283
rest,sequencial,60,24,1.808615,310012
rest,sequencial,80,24,3.425045,409725
rest,sequencial,100,25,2.847862,514141
rest,sequencial,20,44,1.021928,102666
rest,sequencial,40,44,1.434325,205828
rest,sequencial,60,44,1.797434,306105
rest,sequencial,80,44,2.925606,407735
rest,sequencial,100,45,3.035083,508819
rest,sequencial,20,55,1.115238,102666
rest,sequencial,40,55,1.584115,205828
rest,sequencial,60,55,2.120271,306105
rest,sequencial,80,55,2.351832,407735
rest,sequencial,100,56,2.779753,508819
rest,sequencial,20,64,1.021148,102666
rest,sequencial,40,64,1.510614,205828
rest,sequencial,60,64,1.807504,306105
rest,sequencial,80,64,2.562651,407735
rest,sequencial,100,65,2.851875,508819
graphql,sequencial,20,198,0.956577,2827
graphql,sequencial,40,198,1.199389,5675
graphql,sequencial,60,198,1.40022,8457
graphql,sequencial,80,198,1.69285,11069
graphql,sequencial,100,199,2.265089,13903
graphql,sequencial,20,218,0.559381,32
graphql,sequencial,40,218,0.948991,32
graphql,sequencial,60,218,0.652182,32
graphql,sequencial,80,218,0.609257,32
graphql,sequencial,100,219,0.642055,32
graphql,sequencial,20,229,0.59556,32
graphql,sequencial,40,229,1.29168,32
graphql,sequencial,60,229,1.098672,32
graphql,sequencial,80,229,0.588776,32
graphql,sequencial,100,230,0.613366,32
graphql,sequencial,20,238,0.58228,32
graphql,sequencial,40,238,0.734448,32
graphql,sequencial,60,238,0.767928,32
graphql,sequencial,80,238,1.060101,32
graphql,sequencial,100,239,0.559833,32
rest,paralelo,20,24,1.236378,103493
rest,paralelo,40,24,1.433071,207283
rest,paralelo,60,24,2.007873,310012
rest,paralelo,80,24,3.049486,409725
rest,paralelo,100,25,3.277628,514141
rest,paralelo,20,44,1.067729,102666
rest,paralelo,40,44,1.608675,205828
rest,paralelo,60,44,2.004404,306105
rest,paralelo,80,44,2.486866,407735
rest,paralelo,100,45,2.860659,508819
rest,paralelo,20,55,1.086613,102666
rest,paralelo,40,55,2.655881,205828
rest,paralelo,60,55,2.1869,306105
rest,paralelo,80,55,2.431492,407735
rest,paralelo,100,56,2.733101,508819
rest,paralelo,20,64,1.072463,102666
rest,paralelo,40,64,1.963114,205828
rest,paralelo,60,64,1.930686,306105
rest,paralelo,80,64,2.337608,407735
rest,paralelo,100,65,2.590738,508819
graphql,paralelo,20,198,1.150038,2827
graphql,paralelo,40,198,1.175632,5675
graphql,paralelo,60,198,1.400582,8457
graphql,paralelo,80,198,1.543651,11069
graphql,paralelo,100,199,1.640397,13903
graphql,paralelo,20,218,0.650336,32
graphql,paralelo,40,218,0.534894,32
graphql,paralelo,60,218,0.724578,32
graphql,paralelo,80,218,0.644238,32
graphql,paralelo,100,219,0.72312,32
graphql,paralelo,20,229,0.59325,32
graphql,paralelo,40,229,1.344702,32
graphql,paralelo,60,229,0.59925,32
graphql,paralelo,80,229,0.663522,32
graphql,paralelo,100,230,0.608701,32
graphql,paralelo,20,238,1.082835,32
graphql,paralelo,40,238,0.58087,32
graphql,paralelo,60,238,0.527189,32
graphql,paralelo,80,238,0.69604,32
graphql,paralelo,100,239,0.59711,32
rest,sequencial,20,24,1.299097,103493
rest,sequencial,40,24,1.709124,207283
rest,sequencial,60,24,2.045345,310012
rest,sequencial,80,24,2.400133,409725
rest,sequencial,100,25,2.585192,514141
rest,sequencial,20,44,1.227235,102666
rest,sequencial,40,44,1.470691,205828
rest,sequencial,60,44,1.822954,306105
rest,sequencial,80,44,2.317395,407735
rest,sequencial,100,45,3.079077,508819
rest,sequencial,20,55,1.043968,102666
rest,sequencial,40,55,1.446753,205828
rest,sequencial,60,55,1.921017,306105
rest,sequencial,80,55,2.365319,407735
rest,sequencial,100,56,3.148711,508819
rest,sequencial,20,64,1.286408,102666
rest,sequencial,40,64,1.603649,205828
rest,sequencial,60,64,2.181391,306105
rest,sequencial,80,64,2.366072,407735
rest,sequencial,100,65,2.543522,508819
graphql,sequencial,20,198,1.029927,2827
graphql,sequencial,40,198,1.646936,5675
graphql,sequencial,60,198,1.226386,8457
graphql,sequencial,80,198,1.599609,11069
graphql,sequencial,100,199,1.623019,13903
graphql,sequencial,20,218,0.523297,32
graphql,sequencial,40,218,0.697979,32
graphql,sequencial,60,218,1.262087,32
graphql,sequencial,80,218,1.303768,32
graphql,sequencial,100,219,1.102776,32
graphql,sequencial,20,229,0.588802,32
graphql,sequencial,40,229,0.635396,32
graphql,sequencial,60,229,0.560698,32
graphql,sequencial,80,229,0.568473,32
graphql,sequencial,100,230,0.587423,32
graphql,sequencial,20,238,0.549984,32
graphql,sequencial,40,238,0.602411,32
graphql,sequencial,60,238,1.229666,32
